# Total velocity (m/s),Mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
484.901,6.841,2.298,0.013,1491.343,1208.843
485.575,6.836,2.297,0.013,1489.698,1208.487
486.236,6.831,2.296,0.013,1488.105,1208.146
486.879,6.826,2.295,0.013,1486.58,1207.81
487.505,6.821,2.293,0.013,1485.126,1207.474
488.113,6.816,2.292,0.013,1483.739,1207.138
488.704,6.811,2.291,0.013,1482.422,1206.801
489.265,6.807,2.29,0.013,1481.194,1206.515
489.784,6.803,2.289,0.013,1480.082,1206.232
490.259,6.798,2.288,0.013,1479.085,1205.95
490.69,6.794,2.287,0.013,1478.193,1205.667
491.078,6.79,2.286,0.013,1477.397,1205.383
491.423,6.786,2.285,0.013,1476.691,1205.1
491.725,6.782,2.284,0.013,1476.077,1204.816
491.983,6.778,2.283,0.013,1475.554,1204.531
492.198,6.774,2.282,0.013,1475.114,1204.257
492.378,6.771,2.281,0.013,1474.747,1204.058
492.525,6.768,2.28,0.013,1474.443,1203.859
492.641,6.765,2.28,0.013,1474.197,1203.66
492.726,6.762,2.279,0.013,1474.008,1203.46
492.779,6.759,2.278,0.013,1473.873,1203.26
492.801,6.756,2.277,0.013,1473.783,1203.06
492.791,6.753,2.277,0.013,1473.748,1202.86
492.75,6.75,2.276,0.013,1473.766,1202.659
492.677,6.748,2.275,0.013,1473.836,1202.459
492.574,6.745,2.274,0.013,1473.962,1202.258
492.442,6.742,2.274,0.013,1474.141,1202.093
492.293,6.74,2.273,0.013,1474.351,1201.941
492.126,6.738,2.273,0.013,1474.593,1201.79
491.941,6.736,2.272,0.013,1474.87,1201.638
491.74,6.734,2.272,0.013,1475.175,1201.502
491.521,6.732,2.271,0.013,1475.511,1201.377
491.287,6.73,2.271,0.013,1475.881,1201.251
491.036,6.728,2.27,0.013,1476.284,1201.126
490.769,6.726,2.27,0.013,1476.725,1201
490.486,6.725,2.269,0.013,1477.202,1200.874
490.187,6.723,2.269,0.013,1477.718,1200.749
489.872,6.721,2.269,0.013,1478.271,1200.623
489.541,6.719,2.268,0.013,1478.864,1200.502
489.196,6.718,2.268,0.013,1479.492,1200.416
488.84,6.717,2.267,0.013,1480.148,1200.331
488.473,6.716,2.267,0.013,1480.837,1200.245
488.095,6.714,2.267,0.013,1481.558,1200.16
487.705,6.713,2.267,0.013,1482.313,1200.074
487.305,6.712,2.266,0.013,1483.102,1199.989
